feature,importance
concurrent_connections,0.22902612255636837
failed_connections,0.1830534195858699
is_malicious,0.13099204158008626
retransmission_rate,0.12162676359474207
connection_success_rate,0.09073313654167184
inter_arrival_time,0.08254316663679943
packets_per_second,0.07258485335882472
bytes_per_second,0.053585798958460766
jitter,0.017072960844986072
packet_size,0.010654795567669467
packet_size_entropy,0.00557677060448587
dst_port,0.0010993197281691926
protocol,0.0006170014852156767
protocol_entropy,0.00038244207914000345
src_port,0.00035928007843356586
tac,3.636377040809985e-05
nssai,2.547763864299097e-05
timestamp,1.1611710330167873e-05
packet_size_variance,5.788315327322356e-06
pdu_session_id,3.754983198004113e-06
gNB_id,2.5055592933771717e-06
ran_ue_id,1.9163455564165906e-06
upf_id,1.8075122344409022e-06
amf_id,1.5030063352536276e-06
slice_type,1.2419302750932583e-06
max_delay_budget,1.560274518595331e-07
priority_level,1.2471894828565039e-14
5qi,1.1167957713163016e-14
src_port_entropy,0.0
dst_port_entropy,0.0
packet_size_ratio,0.0
